subnum,effector,mm,init
140321BQ640324,M,0,a_8
140321BQ640324,M,0,a_8
140321BQ640324,M,0,a_8
140321BQ640324,M,0,a_8
140321BQ640324,M,0,a_8
140321BQ640324,M,0,a_8
140321BQ640324,M,0,a_8
140321BQ640324,M,0,a_8
140321BQ640324,M,0,a_8
140321BQ640324,M,0,a_8
140321BQ640324,L,0,a_8
140321BQ640324,L,0,a_8
140321BQ640324,L,0,a_8
140321BQ640324,L,0,a_8
140321BQ640324,L,0,a_8
140321BQ640324,L,0,a_8
140321BQ640324,L,0,a_8
140321BQ640324,L,0,a_8
140321BQ640324,L,0,a_8
140321BQ640324,L,0,a_8
140401LQ710418,M,1,a_9
140401LQ710418,M,1.5,a_9
140401LQ710418,M,1.5,a_9
140401LQ710418,M,1.5,a_9
140401LQ710418,M,1,a_9
140401LQ710418,M,1.5,a_9
140401LQ710418,M,4.5,a_9
140401LQ710418,M,2.5,a_9
140401LQ710418,M,1.5,a_9
140401LQ710418,M,0,a_9
140401LQ710418,L,1.5,a_9
140401LQ710418,L,1,a_9
140401LQ710418,L,1,a_9
140401LQ710418,L,0,a_9
140401LQ710418,L,0,a_9
140401LQ710418,L,0,a_9
140401LQ710418,L,0,a_9
140401LQ710418,L,0,a_9
140401LQ710418,L,0,a_9
140401LQ710418,L,0,a_9
140408BF580515,L,1,a_10
140408BF580515,L,0,a_10
140408BF580515,L,0,a_10
140408BF580515,L,0,a_10
140408BF580515,L,0,a_10
140408BF580515,L,0,a_10
140408BF580515,L,0,a_10
140408BF580515,L,0,a_10
140408BF580515,L,0,a_10
140408BF580515,L,0,a_10
140408BF580515,RF,2.5,a_10
140408BF580515,RF,2,a_10
140408BF580515,RF,1,a_10
140408BF580515,RF,0,a_10
140408BF580515,RF,0,a_10
140408BF580515,RF,0,a_10
140408BF580515,RF,0,a_10
140408BF580515,RF,0,a_10
140408BF580515,RF,0,a_10
140408BF580515,RF,0,a_10
140421BD610819,LP,1.5,a_11
140421BD610819,LP,1.5,a_11
140421BD610819,LP,1.5,a_11
140421BD610819,LP,2,a_11
140421BD610819,LP,2,a_11
140421BD610819,LP,2,a_11
140421BD610819,LP,0,a_11
140421BD610819,LP,0,a_11
140421BD610819,LP,0,a_11
140421BD610819,LP,0,a_11
140421BD610819,R,1,a_11
140421BD610819,R,1.5,a_11
140421BD610819,R,1.5,a_11
140421BD610819,R,0,a_11
140421BD610819,R,0,a_11
140421BD610819,R,0,a_11
140421BD610819,R,0,a_11
140421BD610819,R,0,a_11
140421BD610819,R,0,a_11
140421BD610819,R,0,a_11
140426QC660804,LF,1,a_12
140426QC660804,LF,2,a_12
140426QC660804,LF,1,a_12
140426QC660804,LF,0,a_12
140426QC660804,LF,0,a_12
140426QC660804,LF,0,a_12
140426QC660804,LF,0,a_12
140426QC660804,LF,0,a_12
140426QC660804,LF,0,a_12
140426QC660804,LF,0,a_12
140426QC660804,RF,2,a_12
140426QC660804,RF,1,a_12
140426QC660804,RF,1.5,a_12
140426QC660804,RF,1.5,a_12
140426QC660804,RF,0,a_12
140426QC660804,RF,0,a_12
140426QC660804,RF,0,a_12
140426QC660804,RF,0,a_12
140426QC660804,RF,0,a_12
140426QC660804,RF,0,a_12
140429JN500119,M,2,a_13
140429JN500119,M,2.5,a_13
140429JN500119,M,1,a_13
140429JN500119,M,2,a_13
140429JN500119,M,1.5,a_13
140429JN500119,M,1,a_13
140429JN500119,M,2,a_13
140429JN500119,M,0,a_13
140429JN500119,M,0,a_13
140429JN500119,M,0,a_13
140501HQ940114,R,1.5,a_14
140501HQ940114,R,2,a_14
140501HQ940114,R,1,a_14
140501HQ940114,R,0,a_14
140501HQ940114,R,0,a_14
140501HQ940114,R,0,a_14
140501HQ940114,R,0,a_14
140501HQ940114,R,0,a_14
140501HQ940114,R,0,a_14
140501HQ940114,R,0,a_14
140501HQ940114,LF,1,a_14
140501HQ940114,LF,1.5,a_14
140501HQ940114,LF,0,a_14
140501HQ940114,LF,0,a_14
140501HQ940114,LF,0,a_14
140501HQ940114,LF,0,a_14
